Date_Full,Year,Month,Day_Name,Time_Arrival,Order_ID,Target_Location,QR_Scan_Status,Client_Gesture_Status,Handover_Time_Sec,Trip_Duration_Min,Distance_Traveled_M,Order_Final_Status
11-18-25,2025.0,November,Tuesday,19:18:00,7c5b19fa,Lab,Verified,Thumb Up,33,1.6,7.3,Delivered
11-20-25,2025.0,November,Thursday,13:19:00,e8a1fa19,Lab,Verified,Thumb Up,69,1.7,6.9,Delivered
11-20-25,2025.0,November,Thursday,13:48:00,485f544e,Lab,Verified,Thumb Up,41,1.9,5.4,Delivered
11-20-25,2025.0,November,Thursday,13:57:00,2c7cd42e,Cafeteria,Verified,Thumb Up,74,1.4,5.1,Delivered
11-20-25,2025.0,November,Thursday,14:00:00,04c2ea6b,Lab,Verified,Thumb Up,68,1.5,8.7,Delivered
11-20-25,2025.0,November,Thursday,14:24:00,6aaadd5b,Lab,Verified,Thumb Up,25,2.7,9.0,Delivered
11-20-25,2025.0,November,Thursday,15:35:00,23a8d471,Lab,Verified,Thumb Up,18,1.4,8.1,Delivered
11-22-25,2025.0,November,Saturday,13:00:00,f89e77a6,Lab,Verified,Thumb Up,65,1.5,8.1,Delivered
11-28-25,2025.0,November,Friday,14:32:00,4c24fe70,Lab,Verified,Thumb Up,33,1.3,6.2,Delivered
11-29-25,2025.0,November,Saturday,12:25:00,fabbf557,Lab,Verified,Thumb Up,63,2.1,7.6,Delivered
11-29-25,2025.0,November,Saturday,13:00:00,53ef9588,Lab,Verified,Thumb Up,66,2.3,9.9,Delivered
12-06-25,2025.0,December,Saturday,12:00:00,1f34b6dd,Lab,Verified,Thumb Up,51,1.7,7.5,Delivered
12-06-25,2025.0,December,Saturday,14:51:00,b9b7cb93,Lab,Verified,Thumb Up,44,2.1,6.3,Delivered
12-06-25,2025.0,December,Saturday,15:27:00,b0fdc6aa,Lab,Verified,Thumb Up,73,1.8,8.0,Delivered
12-06-25,2025.0,December,Saturday,15:32:00,db2abd25,Lab,Verified,Thumb Up,72,2.0,6.9,Delivered
12-08-25,2025.0,December,Monday,13:47:00,57fcb8ad,Lab,Verified,Thumb Up,40,2.3,9.4,Delivered
12-16-25,2025.0,December,Tuesday,15:00:00,8e734388,R 414,Verified,Thumb Up,18,2.7,5.6,Delivered
